Sheet,Term,Keep or Remove,Options,Notes,Definition,OntologyIRI
Salmon_Outlook_Report__Phase_1,objectid,Remove,,,,
Salmon_Outlook_Report__Phase_1,globalid,Keep,,,A numeric value ,
Salmon_Outlook_Report__Phase_1,uniquerowid,Keep,,,,
Salmon_Outlook_Report__Phase_1,survey_start,remove,,,,
Salmon_Outlook_Report__Phase_1,survey_end,remove,,,,
Salmon_Outlook_Report__Phase_1,phase1,remove,,,,
Salmon_Outlook_Report__Phase_1,smu_area,Keep,"FRASER AND INTERIOR, NORTH COAST, SOUTH COAST, YUKON TRANSBOUNDARY",From crosswalk,"The DFO (Fisheries and Oceans Canada) administrative area that the unit resides in, either South Coast, North Coast, Fraser and Interior, Yukon Transboundary.",
Salmon_Outlook_Report__Phase_1,smu_species,Keep,"Chinook, Chum, Coho, Pink, Pink Even, Pink Odd, Sockeye Lake Type, Sockeye River Type","Describes the species of salmon for which the unit is designated. For Pink and Sockeye Salmon, Also includes the life history...",,
Salmon_Outlook_Report__Phase_1,smu_name,Keep,69 possible options,From crosswalk,"Stock Management Unit (SMU) name. group of one or more conservation units (CUs) that are managed together with the objective of achieving a joint status
From ontology: A collection of stocks that are managed together with a joint stock status.",https://w3id.org/gcdfo/salmon#StockManagementUnit
Salmon_Outlook_Report__Phase_1,outlook_narrative,Keep,250 character limit?,,"Textual description (narrative) providing more context for the Outlook. One for entire SMU, authors can distinguish CU-specific informaiton",
Salmon_Outlook_Report__Phase_1,narrative_SF,,,,,
Salmon_Outlook_Report__Phase_1,smu_outlook_assignment,Keep,"1: Well below average
2: Below average
3: Near average
4: Abundant
Data Deficient: Insufficient information","1, 1 to 2, 2, 2 to 3, 3, 3 to 4, 4, Data Deficient. If blank (NA), means provided per CU",Categorical ranking of expected spawning abundance.,https://w3id.org/gcdfo/salmon#ConservationUnit
Salmon_Outlook_Report__Phase_1,smu_prelim_forecast,Keep,no assigned format. Can be numeric or text,,"Information related to forecast (i.e., numeric estimate of upcoming). Generally quantitative, although not expectd to be. An estimate of the number of returning salmon.
ASK ABOUT WHAT IT ACTUALLY INCLUDES - HOW DO THEY ARRIVE AT #",
Salmon_Outlook_Report__Phase_1,smu_completion_note,remove,,,,
Salmon_Outlook_Report__Phase_1,use_cu_repeats,ASK,,,,
Salmon_Outlook_Report__Phase_1,use_other_repeats,ASK,,,,
Salmon_Outlook_Report__Phase_1,re_sum,Remove,,,,
Salmon_Outlook_Report__Phase_1,contact_email,Remove,,,,
Salmon_Outlook_Report__Phase_1,add_comm,Remove,,,,
Salmon_Outlook_Report__Phase_1,created_date,Remove,,,,
Salmon_Outlook_Report__Phase_1,created_user,Remove,,,,
Salmon_Outlook_Report__Phase_1,last_edited_date,Remove,,,,
Salmon_Outlook_Report__Phase_1,last_edited_user,Remove,,,,
Salmon_Outlook_Report__Phase_1,x,Remove,,,,
Salmon_Outlook_Report__Phase_1,y,Remove,,,,
,,,,,,
cu_outlook_records,objectid,Remove,,,,
cu_outlook_records,globalid,,,,,
,cu_name,NEED TO ADD,,,"The Conservation Unit code.  Conservation Unit (CU) is a group of wild Pacific salmon sufficiently isolated from other groups that, if extirpated, is very unlikely to recolonize naturally within an acceptable timeframe, such as a human lifetime or a specified number of salmon generations.
Conservation Unit from Ontology: https://w3id.org/gcdfo/salmon#ConservationUnit
A group of fish sufficiently isolated from other groups that, if extirpated, is very unlikely to recolonize naturally within an acceptable timeframe.

The assigned name of the Conservation Unit (CU). CAN BE ONE SINGULAR CU OR MULTIPLE, SEPARATED BY COMMAS
",
cu_outlook_records,cu_outlook_selection,Keep,,"SER = Sockeye (River Type)
SEL = Sockeye (Lake Type)
CM = Chum 
CO = Coho
PKE = Pink-Even
PKO = Pink-Odd
CK = Chinook","The unique ID to identify Conservation Units (CU). Units are alpha-numeric, the first part of the ID identifies the species followed by a number.",
cu_outlook_records,cu_outlook_assignment,Keep,,,Outlook assigned to a specific conservation unit and/or multiple  conservation units,
cu_outlook_records,cu_prelim_forecast,Keep,,,Forecast assigned to specific and/or multiple CUs. Textual description and/or numeric,
cu_outlook_records,cu_count,Remove,,,,
cu_outlook_records,parentrowid,,,,,
cu_outlook_records,created_date,Remove,,,,
cu_outlook_records,created_user,Remove,,,,
cu_outlook_records,last_edited_date,Remove,,,,
cu_outlook_records,last_edited_user,Remove,,,,
,,,,,,
other_records,objectid,,,,,
other_records,globalid,,,,,
other_records,other_outlook_selection,,,,"A hatchery or indicator stock, associated with ",
other_records,other_outlook_assignment,,,,"Outlook assigned to a specific hatchery or indicator stock, or multiple",
other_records,other_prelim_forecast,,,,"Forecast assigned to a specific hatchery or indicator stock, or multiple",
other_records,parentrowid,,,,,
other_records,created_date,,,,,
other_records,created_user,,,,,
other_records,last_edited_date,,,,,
other_records,last_edited_user,,,,,
